version,size_test,size_training,succHe_DT,succZi_DT,succG75_DT,succG60_DT,error_DT,recall_DT,precision_DT,fscore_DT,gscore_DT,mcc_DT,auc_DT,aucec_DT,tpr_DT,tnr_DT,fpr_DT,fnr_DT,tp_DT,fn_DT,tn_DT,fp_DT
ant1.3.csv,40,6545,1.0,0.0,0.0,1.0,0.3,0.8,0.6666666666666666,0.7272727272727272,0.6857142857142857,0.408248290463863,0.705,0.6172418020226784,0.8,0.6,0.4,0.2,16.0,4.0,12.0,8.0
ant1.4.csv,77,6545,0.0,0.0,0.0,0.0,0.42857142857142855,0.575,0.5897435897435898,0.5822784810126582,0.5712596096984033,0.14247133565139342,0.6006756756756757,0.5315969218159465,0.575,0.5675675675675675,0.43243243243243246,0.425,23.0,17.0,21.0,16.0
ant1.5.csv,62,6545,0.0,0.0,0.0,1.0,0.3709677419354839,0.625,0.6451612903225806,0.634920634920635,0.6291390728476821,0.2581988897471611,0.621875,0.5184697886000071,0.625,0.6333333333333333,0.36666666666666664,0.375,20.0,12.0,19.0,11.0
ant1.6.csv,181,6545,0.0,0.0,0.0,1.0,0.36464088397790057,0.6521739130434783,0.6382978723404256,0.6451612903225806,0.6346153846153846,0.27031656029867135,0.6039325842696629,0.5533589041064031,0.6521739130434783,0.6179775280898876,0.38202247191011235,0.34782608695652173,60.0,32.0,55.0,34.0
ant1.7.csv,321,6545,1.0,0.0,0.0,1.0,0.3395638629283489,0.7409638554216867,0.6507936507936508,0.6929577464788732,0.647004935134017,0.3200586283051378,0.6402837155071901,0.5840351732176159,0.7409638554216867,0.5741935483870968,0.4258064516129032,0.25903614457831325,123.0,43.0,89.0,66.0
came1.0.csv,26,6116,0.0,0.0,0.0,1.0,0.34615384615384615,0.5384615384615384,0.7,0.608695652173913,0.6334841628959276,0.31622776601683794,0.650887573964497,0.5767183522332793,0.5384615384615384,0.7692307692307693,0.23076923076923078,0.46153846153846156,7.0,6.0,10.0,3.0
camel1.2.csv,438,6116,0.0,0.0,0.0,0.0,0.4748858447488584,0.4444444444444444,0.5217391304347826,0.48,0.5119388729703916,0.048669103013379886,0.5200513013013013,0.448000184238098,0.4444444444444444,0.6036036036036037,0.3963963963963964,0.5555555555555556,96.0,120.0,134.0,88.0
camel1.4.csv,282,6116,0.0,0.0,0.0,1.0,0.36524822695035464,0.6413793103448275,0.6458333333333334,0.643598615916955,0.6344849470469239,0.26906913370147745,0.6418071985904857,0.5363188359322442,0.6413793103448275,0.6277372262773723,0.3722627737226277,0.3586206896551724,93.0,52.0,86.0,51.0
camel1.6.csv,364,6116,0.0,0.0,0.0,0.0,0.4642857142857143,0.4946808510638298,0.5568862275449101,0.5239436619718311,0.5337609723160027,0.07443920996976998,0.5471772243713733,0.4474526779437668,0.4946808510638298,0.5795454545454546,0.42045454545454547,0.5053191489361702,93.0,95.0,102.0,74.0
ckjm.csv,10,7216,0.0,0.0,0.0,1.0,0.3,0.6,0.75,0.6666666666666665,0.6857142857142857,0.408248290463863,0.74,0.5132743362831859,0.6,0.8,0.2,0.4,3.0,2.0,4.0,1.0
